id	filename	md5	size	state
713e8e38-e238-40f1-b41a-d4b401bd3a31	40ad1f6f-6e45-4767-91d0-9b0c9a4487d1.wxs.aliquot_ensemble_masked.maf.gz	b2041ddae092c16f556d43d27339ed94	15091	released
cdb6710c-3184-4119-859f-6c255837ca42	eb448c02-5c0d-4257-aa09-31528655980c.wxs.aliquot_ensemble_masked.maf.gz	6df1803aaa1829bc7ec5f6f2fb56b8d9	20185	released
d4f64ac6-7898-43c0-a55c-f30308cb4b8f	8a81fe29-af71-416c-b995-25b218289f7a.wxs.aliquot_ensemble_masked.maf.gz	e2271a79180ddb35af60fde88998bd91	22800	released
71623e2c-3bfa-477b-adc1-7755d1c62873	886291ca-eb69-4f5c-a563-a0bada4dd2a8.wxs.aliquot_ensemble_masked.maf.gz	052cfbafe792b1e323315f8685157939	7081	released
54221450-2adf-4363-996b-2b5c3343a4b9	50bd60e0-ad13-404b-8429-03abb024538a.wxs.aliquot_ensemble_masked.maf.gz	7d4a801a364fbbcd6aebcf587b3d44da	28690	released
73c2fef3-6f69-455e-9691-5ffd4f8b58ae	d7ff3374-ef28-45a1-9d87-3af67d2a565e.wxs.aliquot_ensemble_masked.maf.gz	e69fa45bf68876c5e1c060f20b7e1493	19925	released
27cda4fa-8d62-4925-94e8-aaab5bbb4b79	6dce8a91-455f-4060-bad9-b925e76c0709.wxs.aliquot_ensemble_masked.maf.gz	7db2a34fd391097a0e3ab56e42f2aceb	16759	released
470cc361-8525-493b-b607-87d962c44a42	0721c388-c7ce-4470-b3b2-05c59a7d15f7.wxs.aliquot_ensemble_masked.maf.gz	58d0ea8b30949d80bec97e0424fa030a	16132	released
9fb43318-69c7-487e-804a-5659bea9dce0	f442c0a6-9d6a-43e2-aee4-b0bce716912f.wxs.aliquot_ensemble_masked.maf.gz	8b4ee02892a4d3d948e5c63afd614fee	14348	released
4c689cf2-e9b1-4c66-9058-177c53c5e67e	61490b66-e77e-4f8b-9563-a12f517f9ceb.wxs.aliquot_ensemble_masked.maf.gz	d207067f9bc58ac88f676c11fa621cce	41072	released
fbf07769-c0c9-4ea5-bf7c-02dcaf9757dc	3b83d6dd-5e87-4c33-bd1d-2642e1470e2d.wxs.aliquot_ensemble_masked.maf.gz	147681ae398a6d103802b58f042596f1	15488	released
02bf8475-81ee-4edd-bd15-cbe9acfcfb2c	1c378a90-f175-4d9a-8e4b-d9f1214f1474.wxs.aliquot_ensemble_masked.maf.gz	22e614dfe15d342cfa82b4f6afdd8cad	8521	released
334898e4-2b9d-43ed-91ec-6000a768777e	e31ce6bf-fa42-47b5-8ee3-8112f3ae07fc.wxs.aliquot_ensemble_masked.maf.gz	735f52f579de396dfb5456970cf1b34a	13442	released
d0e96cb7-700d-475e-8f06-d3b66fec6e0c	6ee90522-0275-44b9-8b18-f887a377dd84.wxs.aliquot_ensemble_masked.maf.gz	64d4924cab3c141654815a85fa4708a5	273053	released
a1c20109-377a-4afb-9e31-354e960777c8	86538872-b6c8-4ab3-b518-0ca9d556ab23.wxs.aliquot_ensemble_masked.maf.gz	72d0549268d1c7e41bd618bf3feba952	87189	released
2a200976-1b2c-4dc3-b37b-45b9b0c10e40	d2c16429-4a6d-4b72-883e-289f7493bf3c.wxs.aliquot_ensemble_masked.maf.gz	ce9d3e43b4dbca199125f26bfbafa05c	21321	released
3b07566c-a638-4101-b2ed-d53d561a0025	012732cc-ab62-437a-a310-adada5a8abee.wxs.aliquot_ensemble_masked.maf.gz	9a1c75dd856338ebc8ec19cd4426cc09	21065	released
c258bdf3-8506-4252-aab1-5bcf997af80b	56ddfd03-188f-4d9a-9070-b0c0f1c64376.wxs.aliquot_ensemble_masked.maf.gz	be26043607bd4f3fb9525f74214fb467	17373	released
34078391-c0cd-4f2a-8d63-fd9aea9ffba9	fa68f395-fa89-44be-8ec8-a1b317b45644.wxs.aliquot_ensemble_masked.maf.gz	b9ec86640f9aaa0830df1f75aa1f21ed	9870	released
9a8bcc55-4bba-44b6-b6f7-358d655615cf	d528ac3c-d7c2-45b4-b1f0-ca45e0b9cf86.wxs.aliquot_ensemble_masked.maf.gz	1fe4d81d7cdf73174bdddc28c9de528a	12321	released
04703fb8-47cd-4732-850a-14f913d7e6b6	2b4ab4eb-a512-4615-a0b2-76fecbb075bf.wxs.aliquot_ensemble_masked.maf.gz	4a49eab4e8e24e98a57ae290ad48295b	53195	released
218cbd80-c866-48b9-90d6-d0a5210fd96d	579a3ebc-d38d-4029-a05c-d3e8ea2549d8.wxs.aliquot_ensemble_masked.maf.gz	9e0fa204a4a11b6184bbe880c89c9f5a	13889	released
b3abd87d-8040-4db5-a537-c5729b235d26	a8e61ed1-3f93-4e8e-940b-7623d1744453.wxs.aliquot_ensemble_masked.maf.gz	9b2c46a105782edbd9dbcee95fb1a76a	22001	released
533dee29-137c-4bae-907d-10d8508d9760	801a4990-932c-4501-8b52-3193e90e3707.wxs.aliquot_ensemble_masked.maf.gz	e54cf8b5156108b9cff341ff84711423	31120	released
23698bda-cb4d-4f26-ac52-4389863d2be7	6d0cf156-0a40-4f6b-858d-fb0476a8cf74.wxs.aliquot_ensemble_masked.maf.gz	5705274e79c16e72ec86c82354b5b497	65258	released
18fa8df9-5b03-4ff3-a6ee-3a4fb88d41f8	9581e12d-7ca4-42b4-a6b0-3c1ddf0d5d89.wxs.aliquot_ensemble_masked.maf.gz	5d146fa7beb8db73c3a4807767380137	11540	released
8d76ceac-2fca-4dca-b79e-5735d859dd03	90982fbe-3a05-42d0-bf79-00ef4d020483.wxs.aliquot_ensemble_masked.maf.gz	a59a89f06f5b5a40c54cbd164fc447ba	25534	released
